S.NO,Movie,Year,Language,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,PosterURL
1929,Munna Mange Memsaab,2014,Hindi,,,Munna Mange Memsaab(Hindi: मुन्ना मांगे मेमसाब[2]) is a 2014 Hindi movie.[3]The film starsOmkar Das ManikpuriofPeepli Livefame amongst others.,,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Munna_Mange_Memsaab_poster.jpg/250px-Munna_Mange_Memsaab_poster.jpg
1930,Bazaar-E-Husn,2014,Hindi,,,"Bazaar E Husn(transl.The flesh market (as in prostitution)) is a 2014 IndianHindi-language film, based on MunshiPremchand’s renownedUrdunovelBazaar-e-Husn,[2]released on 18 July 2014. This film starsReshmi Ghosh, Jeet Goshwami,Om PuriandYashpal Sharma, and was written byDhananjay Kumar.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Poster_Of_Bazaar_E_Husn.jpg/250px-Poster_Of_Bazaar_E_Husn.jpg
1931,Riyasat,2014,Hindi,,,"Riyasat(transl.Principality) is a 2014 IndianHindi-language action film, starringRajesh Khanna, Gauri Kulkarni,Aryan Vaid, Aryeman Ramsay andRaza Murad. It is Khanna's last film.[2]The film was released on 18 July 2014, two years after his death.[3]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Poster_of_Riyasat.jpg/250px-Poster_of_Riyasat.jpg
1932,Amit Sahni Ki List,2014,Hindi,,,"Amit Sahni Ki List(transl.Amit Sahni's list) is a 2014 IndianHindi-languageromantic comedyfilm produced by Pyxis Pictures, and directed by Ajay Bhuyan.[1][2][3][4]The film starsVir Das,Vega TamotiaandAnindita Nayar, and featuresKavi Shastri,Natasha Rastogiand Duboree Das in supporting roles.[5][6]It is co-produced by Tina Nagpaul, Kavita Kulkarni and Sujata Vemuri under the banner of Pyxis Pictures. The film was released on 18 July 2014.[7]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/Amit_Sahni_Ki_List_poster.jpg/250px-Amit_Sahni_Ki_List_poster.jpg
1933,Pizza,2014,Hindi,,,"Pizzais a 2014 IndianHindi-languagehorror filmdirected by Akshay Akkineni. The film starsAkshay Oberoi,Parvathy OmanakuttanandDipannita Sharmain the lead roles, while Arunoday Singh, Rajesh Sharma,Omkar Das Manikpuriand Sonali Sachdev play supporting roles. It is a remake of the 2012 Tamil filmof the same name, directed byKarthik Subbaraj, and was released on 18 July 2014.[2][3]Produced bySiddharth Roy KapurandBejoy Nambiar, the film is the last production fromUTV Spotboy.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Pizza_%282014_film%29_first_look_poster.png/250px-Pizza_%282014_film%29_first_look_poster.png
1934,Mad About Dance,2014,Hindi,,,Mad About Danceis a2014Indiandance film. The film is directed bySaahil Prem. The film starsSaahil PremandAmrit Magherain the lead roles.[1]Saahil Premdebuted as an actor alongsideSunny Leonein the 2014 filmRagini MMS 2.,,,,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Mad_About_Dance_Official_Poster.jpg/250px-Mad_About_Dance_Official_Poster.jpg
1935,Mardaani,2014,Hindi,,,"Mardaani(transl.Masculinity) is a 2014 IndianHindi-languageaction thriller film[4]directed byPradeep Sarkarand produced byAditya Chopra.[5]The film starsRani Mukerji, withJisshu Sengupta,Tahir Raj BhasinandSaanand Vermain supporting roles. The narrative revolves around Shivani Shivaji Roy, a policewoman whose interest in the case of a kidnapped teenage girl leads her to uncover the secrets ofhuman traffickingby the Indian mafia.[6]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Official_Poster_of_Mardaani.jpg/250px-Official_Poster_of_Mardaani.jpg
1936,Mumbhai Connection,2014,Hindi,,,"Mumbhai Connectionis a 2011 Hindi-language film shot entirely in Atlanta, USA. The film was set to release theatrically in August 2014[1][2][3][4][5][6][7][8][9][10][11]It is directed byAtlanta Nagendra, who also wrote the screenplay.[12][13][14][15]It is produced by Abbas Moloo, Nawal Parwal, Sathya Narayanan and Rafiq Batcha. The music director isPraveen Duth Stephen.[16][17][18][19][20][21]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Mumbhai_Connection_Poster_1.jpg/250px-Mumbhai_Connection_Poster_1.jpg
1937,Khoobsurat,2014,Hindi,,,"Khoobsurat(transl.Beautiful) is a 2014 IndianHindi-languageromantic comedy-drama film.[6]The film is directed byShashanka Ghoshand produced byRhea Kapoor,Anil KapoorandSiddharth Roy Kapur.[1]It starsSonam Kapoor,Fawad Khan,Kirron Kher,Ratna Pathak, andAamir Raza Hussain. The film is loosely based on the 1980film of the same name.[7][8]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Disney_Khoobsurat.jpg/250px-Disney_Khoobsurat.jpg
1938,Chaarfutiya Chhokare,2014,Hindi,,,"Chaarfutiya Chhokare(transl.Four-feet-short boys) is a 2014 IndianHindi-languagethriller film, written and directed by Manish Harishankar and produced by Sunill Khosla and Vibha Dutta Khosla.[1]The storyline is based on the subject ofchild-trafficking. The film featuresSoha Ali Khan,Seema BiswasandZakir Hussain.[2]The film was released on 26 September 2014, to mixed reviews.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Chaarfutiya_Chhokare.jPG/250px-Chaarfutiya_Chhokare.jPG
